,pm_id,title,abstract,publication_types,mesh_terms,substances
0,35660797,"PD-1 Blockade in Mismatch Repair-Deficient, Locally Advanced Rectal Cancer - PubMed","Abstract
        
      



          Background:
        
      
      Neoadjuvant chemotherapy and radiation followed by surgical resection of the rectum is a standard treatment for locally advanced rectal cancer. A subset of rectal cancer is caused by a deficiency in mismatch repair. Because mismatch repair-deficient colorectal cancer is responsive to programmed death 1 (PD-1) blockade in the context of metastatic disease, it was hypothesized that checkpoint blockade could be effective in patients with mismatch repair-deficient, locally advanced rectal cancer.
    


          Methods:
        
      
      We initiated a prospective phase 2 study in which single-agent dostarlimab, an anti-PD-1 monoclonal antibody, was administered every 3 weeks for 6 months in patients with mismatch repair-deficient stage II or III rectal adenocarcinoma. This treatment was to be followed by standard chemoradiotherapy and surgery. Patients who had a clinical complete response after completion of dostarlimab therapy would proceed without chemoradiotherapy and surgery. The primary end points are sustained clinical complete response 12 months after completion of dostarlimab therapy or pathological complete response after completion of dostarlimab therapy with or without chemoradiotherapy and overall response to neoadjuvant dostarlimab therapy with or without chemoradiotherapy.
    


          Results:
        
      
      A total of 12 patients have completed treatment with dostarlimab and have undergone at least 6 months of follow-up. All 12 patients (100%; 95% confidence interval, 74 to 100) had a clinical complete response, with no evidence of tumor on magnetic resonance imaging, 18F-fluorodeoxyglucose-positron-emission tomography, endoscopic evaluation, digital rectal examination, or biopsy. At the time of this report, no patients had received chemoradiotherapy or undergone surgery, and no cases of progression or recurrence had been reported during follow-up (range, 6 to 25 months). No adverse events of grade 3 or higher have been reported.
    


          Conclusions:
        
      
      Mismatch repair-deficient, locally advanced rectal cancer was highly sensitive to single-agent PD-1 blockade. Longer follow-up is needed to assess the duration of response. (Funded by the Simon and Eve Colin Foundation and others; ClinicalTrials.gov number, NCT04165772.).",{},{},{}
1,35658024,Tirzepatide Once Weekly for the Treatment of Obesity - PubMed,"Abstract
        
      



          Background:
        
      
      Obesity is a chronic disease that results in substantial global morbidity and mortality. The efficacy and safety of tirzepatide, a novel glucose-dependent insulinotropic polypeptide and glucagon-like peptide-1 receptor agonist, in people with obesity are not known.
    


          Methods:
        
      
      In this phase 3 double-blind, randomized, controlled trial, we assigned 2539 adults with a body-mass index (BMI; the weight in kilograms divided by the square of the height in meters) of 30 or more, or 27 or more and at least one weight-related complication, excluding diabetes, in a 1:1:1:1 ratio to receive once-weekly, subcutaneous tirzepatide (5 mg, 10 mg, or 15 mg) or placebo for 72 weeks, including a 20-week dose-escalation period. Coprimary end points were the percentage change in weight from baseline and a weight reduction of 5% or more. The treatment-regimen estimand assessed effects regardless of treatment discontinuation in the intention-to-treat population.
    


          Results:
        
      
      At baseline, the mean body weight was 104.8 kg, the mean BMI was 38.0, and 94.5% of participants had a BMI of 30 or higher. The mean percentage change in weight at week 72 was -15.0% (95% confidence interval [CI], -15.9 to -14.2) with 5-mg weekly doses of tirzepatide, -19.5% (95% CI, -20.4 to -18.5) with 10-mg doses, and -20.9% (95% CI, -21.8 to -19.9) with 15-mg doses and -3.1% (95% CI, -4.3 to -1.9) with placebo (P<0.001 for all comparisons with placebo). The percentage of participants who had weight reduction of 5% or more was 85% (95% CI, 82 to 89), 89% (95% CI, 86 to 92), and 91% (95% CI, 88 to 94) with 5 mg, 10 mg, and 15 mg of tirzepatide, respectively, and 35% (95% CI, 30 to 39) with placebo; 50% (95% CI, 46 to 54) and 57% (95% CI, 53 to 61) of participants in the 10-mg and 15-mg groups had a reduction in body weight of 20% or more, as compared with 3% (95% CI, 1 to 5) in the placebo group (P<0.001 for all comparisons with placebo). Improvements in all prespecified cardiometabolic measures were observed with tirzepatide. The most common adverse events with tirzepatide were gastrointestinal, and most were mild to moderate in severity, occurring primarily during dose escalation. Adverse events caused treatment discontinuation in 4.3%, 7.1%, 6.2%, and 2.6% of participants receiving 5-mg, 10-mg, and 15-mg tirzepatide doses and placebo, respectively.
    


          Conclusions:
        
      
      In this 72-week trial in participants with obesity, 5 mg, 10 mg, or 15 mg of tirzepatide once weekly provided substantial and sustained reductions in body weight. (Supported by Eli Lilly; SURMOUNT-1 ClinicalTrials.gov number, NCT04184622.).",{},{},{}
2,35665782,Trastuzumab Deruxtecan in Previously Treated HER2-Low Advanced Breast Cancer - PubMed,"Abstract
        
      



          Background:
        
      
      Among breast cancers without human epidermal growth factor receptor 2 (HER2) amplification, overexpression, or both, a large proportion express low levels of HER2 that may be targetable. Currently available HER2-directed therapies have been ineffective in patients with these ""HER2-low"" cancers.
    


          Methods:
        
      
      We conducted a phase 3 trial involving patients with HER2-low metastatic breast cancer who had received one or two previous lines of chemotherapy. (Low expression of HER2 was defined as a score of 1+ on immunohistochemical [IHC] analysis or as an IHC score of 2+ and negative results on in situ hybridization.) Patients were randomly assigned in a 2:1 ratio to receive trastuzumab deruxtecan or the physician's choice of chemotherapy. The primary end point was progression-free survival in the hormone receptor-positive cohort. The key secondary end points were progression-free survival among all patients and overall survival in the hormone receptor-positive cohort and among all patients.
    


          Results:
        
      
      Of 557 patients who underwent randomization, 494 (88.7%) had hormone receptor-positive disease and 63 (11.3%) had hormone receptor-negative disease. In the hormone receptor-positive cohort, the median progression-free survival was 10.1 months in the trastuzumab deruxtecan group and 5.4 months in the physician's choice group (hazard ratio for disease progression or death, 0.51; P<0.001), and overall survival was 23.9 months and 17.5 months, respectively (hazard ratio for death, 0.64; P = 0.003). Among all patients, the median progression-free survival was 9.9 months in the trastuzumab deruxtecan group and 5.1 months in the physician's choice group (hazard ratio for disease progression or death, 0.50; P<0.001), and overall survival was 23.4 months and 16.8 months, respectively (hazard ratio for death, 0.64; P = 0.001). Adverse events of grade 3 or higher occurred in 52.6% of the patients who received trastuzumab deruxtecan and 67.4% of those who received the physician's choice of chemotherapy. Adjudicated, drug-related interstitial lung disease or pneumonitis occurred in 12.1% of the patients who received trastuzumab deruxtecan; 0.8% had grade 5 events.
    


          Conclusions:
        
      
      In this trial involving patients with HER2-low metastatic breast cancer, trastuzumab deruxtecan resulted in significantly longer progression-free and overall survival than the physician's choice of chemotherapy. (Funded by Daiichi Sankyo and AstraZeneca; DESTINY-Breast04 ClinicalTrials.gov number, NCT03734029.).",{},{},{}
3,35668298,Histone editing elucidates the functional roles of H3K27 methylation and acetylation in mammals - PubMed,"Abstract
        
      


      
      Posttranslational modifications of histones (PTMs) are associated with specific chromatin and gene expression states1,2. Although studies in Drosophila melanogaster have revealed phenotypic associations between chromatin-modifying enzymes and their histone substrates, comparable studies in mammalian models do not exist3-5. Here, we use CRISPR base editing in mouse embryonic stem cells (mESCs) to address the regulatory role of lysine 27 of histone H3 (H3K27), a substrate for Polycomb repressive complex 2 (PRC2)-mediated methylation and CBP/EP300-mediated acetylation6,7. By generating pan-H3K27R (pK27R) mutant mESCs, where all 28 alleles of H3.1, H3.2 and H3.3 have been mutated, we demonstrate similarity in transcription patterns of genes and differentiation to PRC2-null mutants. Moreover, H3K27 acetylation is not essential for gene derepression linked to loss of H3K27 methylation, or de novo activation of genes during cell-fate transition to epiblast-like cells (EpiLCs). In conclusion, our results show that H3K27 is an essential substrate for PRC2 in mESCs, whereas other PTMs in addition to H3K27 acetylation are likely involved in mediating CBP/EP300 function. Our work demonstrates the feasibility of large-scale multicopy gene editing to interrogate histone PTM function in mammalian cells.",{},{},{}
4,35649412,Glioma progression is shaped by genetic evolution and microenvironment interactions - PubMed,"Abstract
        
      


      
      The factors driving therapy resistance in diffuse glioma remain poorly understood. To identify treatment-associated cellular and genetic changes, we analyzed RNA and/or DNA sequencing data from the temporally separated tumor pairs of 304 adult patients with isocitrate dehydrogenase (IDH)-wild-type and IDH-mutant glioma. Tumors recurred in distinct manners that were dependent on IDH mutation status and attributable to changes in histological feature composition, somatic alterations, and microenvironment interactions. Hypermutation and acquired CDKN2A deletions were associated with an increase in proliferating neoplastic cells at recurrence in both glioma subtypes, reflecting active tumor growth. IDH-wild-type tumors were more invasive at recurrence, and their neoplastic cells exhibited increased expression of neuronal signaling programs that reflected a possible role for neuronal interactions in promoting glioma progression. Mesenchymal transition was associated with the presence of a myeloid cell state defined by specific ligand-receptor interactions with neoplastic cells. Collectively, these recurrence-associated phenotypes represent potential targets to alter disease progression.
    



          Keywords:
        
      
      genomics; glioblastoma; glioma; hypermutation; macrophages; microenvironment; neurons; single-cell; spatial imaging; treatment resistance.",{},{},{}
5,35672419,Dietary restriction and the transcription factor clock delay eye aging to extend lifespan in Drosophila Melanogaster - PubMed,"Abstract
        
      


      
      Many vital processes in the eye are under circadian regulation, and circadian dysfunction has emerged as a potential driver of eye aging. Dietary restriction is one of the most robust lifespan-extending therapies and amplifies circadian rhythms with age. Herein, we demonstrate that dietary restriction extends lifespan in Drosophila melanogaster by promoting circadian homeostatic processes that protect the visual system from age- and light-associated damage. Altering the positive limb core molecular clock transcription factor, CLOCK, or CLOCK-output genes, accelerates visual senescence, induces a systemic immune response, and shortens lifespan. Flies subjected to dietary restriction are protected from the lifespan-shortening effects of photoreceptor activation. Inversely, photoreceptor inactivation, achieved via mutating rhodopsin or housing flies in constant darkness, primarily extends the lifespan of flies reared on a high-nutrient diet. Our findings establish the eye as a diet-sensitive modulator of lifespan and indicates that vision is an antagonistically pleiotropic process that contributes to organismal aging.",{},{},{}
6,35662413,An inter-organ neural circuit for appetite suppression - PubMed,"Abstract
        
      


      
      Glucagon-like peptide-1 (GLP-1) is a signal peptide released from enteroendocrine cells of the lower intestine. GLP-1 exerts anorectic and antimotility actions that protect the body against nutrient malabsorption. However, little is known about how intestinal GLP-1 affects distant organs despite rapid enzymatic inactivation. We show that intestinal GLP-1 inhibits gastric emptying and eating via intestinofugal neurons, a subclass of myenteric neurons that project to abdominal sympathetic ganglia. Remarkably, cell-specific ablation of intestinofugal neurons eliminated intestinal GLP-1 effects, and their chemical activation functioned as a GLP-1 mimetic. GLP-1 sensing by intestinofugal neurons then engaged a sympatho-gastro-spinal-reticular-hypothalamic pathway that links abnormal stomach distension to craniofacial programs for food rejection. Within this pathway, cell-specific activation of discrete neuronal populations caused systemic GLP-1-like effects. These molecularly identified, delimited enteric circuits may be targeted to ameliorate the abdominal bloating and loss of appetite typical of gastric motility disorders.
    



          Keywords:
        
      
      Appetite suppression; GLP-1; enteric neurons; gut peptides; gut-brain axis; interoception.",{},{},{}
7,35668317,"Does Ocrelizumab Limit Multiple Sclerosis Progression? Current Evidence from Clinical, MRI, and Fluid Biomarkers - PubMed","Abstract
        
      


      
      Multiple sclerosis (MS) is a chronic inflammatory, demyelinating, and neurodegenerative disease affecting the central nervous system, often characterized by the accumulation of irreversible clinical disability over time. In recent years, there has been a dramatic evolution in several key concepts of MS treatment. The demonstration of the effects of ocrelizumab, a selective monoclonal antibody against CD20+ B cells, has significantly modified our knowledge of the immune-pathophysiology of MS and has provided a new therapeutic target for relapsing and progressive MS patients. Emerging findings suggest that, besides its strong anti-inflammatory activity, ocrelizumab may limit disability progression and may exert beneficial effects on cognitive function, fatigue, and quality of life of MS patients. The significant reductions of the rate of global and regional brain atrophy and of serum neurofilament light chain levels, which were found to be partially independent of overt inflammatory activity, suggest that this treatment may also limit neuro-axonal damage. By discussing the most recent evidence regarding the effects of ocrelizumab on clinical measures as well as on magnetic resonance imaging and fluid biomarkers, this review summarizes current knowledge on the possible mechanisms underlying the effects of ocrelizumab in limiting MS progression and neurodegeneration.
    



          Keywords:
        
      
      Cognition; Disability; MRI; Neurofilaments; Ocrelizumab; Quality of life.",{},{},{}
8,35649707,Short-term effectiveness of high-load compared with low-load strengthening exercise on self-reported function in patients with hypermobile shoulders: a randomised controlled trial - PubMed,"Abstract
        
      



          Objectives:
        
      
      To investigate the short-term effectiveness of high-load versus low-load strengthening exercise on self-reported function in patients with hypermobility spectrum disorder (HSD) and shoulder symptoms.
    


          Methods:
        
      
      A superiority, parallel-group, randomised trial (balanced block randomisation, electronic concealment) including adult patients (n=100) from primary care with HSD and shoulder pain and/or shoulder instability ≥3 months. Patients received 16 weeks of shoulder exercises (three sessions/week): HEAVY (n=50, full-range, high-load, supervised twice/week) or LIGHT (n=50, neutral/mid-range, low-load, supervised three times). The primary outcome was the 16-week between-group difference in self-reported function measured with the Western Ontario Shoulder Instability Index (WOSI, scale 0-2100, 0=best, minimal important difference 252 points). Secondary outcomes were self-reported measures including quality of life and clinical tests including shoulder muscle strength and range of motion. An intention-to-treat analysis with multiple imputation was conducted by a blinded biostatistician using linear regression.
    


          Results:
        
      
      93 of 100 patients (93%) completed the 16-week evaluation. The mean WOSI score between-group difference significantly favoured HEAVY (-174.5 points, 95% CI -341.4 to -7.7, adjusted for age, sex, baseline score, clustering around clinic). The secondary outcomes were inconclusive, but patients in HEAVY were less likely to have a positive shoulder rotation test >180°, and more likely to rate an important improvement in physical symptoms. There were no serious adverse events, but HEAVY was associated with more transient muscle soreness (56% vs 37%) and headaches (40% vs 20%).
    


          Conclusion:
        
      
      High-load shoulder strengthening exercise was statistically superior to low-load strengthening exercise for self-reported function at 16 weeks and may be used in primary care to treat patients with HSD and shoulder pain and/or instability to improve shoulder function in the short term. Further studies are needed to confirm the clinical relevance, and patients should be supported to manage associated minor adverse events.
    


          Trial registration number:
        
NCT03869307.
    



          Keywords:
        
      
      exercise therapy; general practice; randomized controlled trial; rehabilitation; shoulder.",{},{},{}
9,35654037,Neuronal NLRP3 is a parkin substrate that drives neurodegeneration in Parkinson's disease - PubMed,"Abstract
        
      


      
      Parkinson's disease (PD) is mediated, in part, by intraneuronal accumulation of α-synuclein aggregates andsubsequent death of dopamine (DA) neurons in the substantia nigra pars compacta (SNpc). Microglial hyperactivation of the NOD-like receptor protein 3 (NLRP3) inflammasome has been well-documented in various neurodegenerative diseases, including PD. We show here that loss of parkin activity in mouse and human DA neurons results in spontaneous neuronal NLRP3 inflammasome assembly, leading to DA neuron death. Parkin normally inhibits inflammasome priming by ubiquitinating and targeting NLRP3 for proteasomal degradation. Loss of parkin activity also contributes to the assembly of an active NLRP3 inflammasome complex via mitochondrial-derived reactive oxygen species (mitoROS) generation through the accumulation of another parkin ubiquitination substrate, ZNF746/PARIS. Inhibition of neuronal NLRP3 inflammasome assembly prevents degeneration of DA neurons in familial and sporadic PD models. Strategies aimed at limiting neuronal NLRP3 inflammasome activation hold promise as a disease-modifying therapy for PD.
    



          Keywords:
        
      
      Caspase-1; NLRP3; PARIS; Parkinson’s disease; ZNF746; inflammasome; neurodegeneration; parkin; ubiquitination.",{},{},{}
